time,pop_15,pop_econ,pop_emp,pop_unemp,pop_unecon,rate_econ,rate_umemp,cpi,trend_mulga,trend_inflation,trend_gap,ppi
2010-01,40595,24258,23041,1218,16336,59.8,5,85.351,53,51,44,93.87
2010-02,40630,24217,23047,1170,16413,59.6,4.8,85.523,49,57,46,94.03
2010-03,40667,24567,23560,1007,16100,60.4,4.1,85.696,44,48,49,94.47
2010-04,40703,25053,24116,936,15651,61.5,3.7,86.041,46,45,58,95.16
2010-05,40748,25293,24495,798,15455,62.1,3.2,86.128,49,44,53,95.96
2010-06,40788,25352,24474,878,15436,62.2,3.5,86.041,64,60,53,96.07
2010-07,40840,25435,24500,936,15405,62.3,3.7,86.214,39,41,43,96.31
2010-08,40889,25051,24214,836,15839,61.3,3.3,86.647,51,41,49,96.6
2010-09,40933,25134,24270,864,15799,61.4,3.4,87.337,48,47,49,97.16
2010-10,40979,25236,24398,838,15743,61.6,3.3,87.337,51,49,86,97.52
2010-11,41031,25092,24347,745,15940,61.2,3,86.906,49,47,44,97.85
2010-12,41090,24790,23931,859,16300,60.3,3.5,87.251,49,48,39,98.76
2011-01,41141,24362,23439,924,16779,59.2,3.8,88.288,60,57,39,100.28
2011-02,41186,24694,23589,1104,16493,60,4.5,88.892,50,50,33,101.03
2011-03,41235,25193,24114,1079,16042,61.1,4.3,89.238,53,53,42,102.24
2011-04,41279,25524,24581,944,15754,61.8,3.7,89.325,50,48,55,102.87
2011-05,41338,25775,24950,825,15563,62.4,3.2,89.497,43,42,40,103.18
2011-06,41375,25900,25053,848,15475,62.6,3.3,89.67,51,53,42,102.95
2011-07,41422,25780,24933,847,15642,62.2,3.3,90.102,44,44,36,103.09
2011-08,41460,25556,24784,772,15904,61.6,3,90.707,40,39,33,103.22
2011-09,41487,25372,24604,768,16115,61.2,3,90.62,44,44,33,103.3
2011-10,41521,25710,24965,745,15812,61.9,2.9,90.448,43,43,36,103.2
2011-11,41565,25621,24885,735,15945,61.6,2.9,90.534,59,57,38,102.87
2011-12,41636,25181,24421,761,16455,60.5,3,90.879,33,33,31,102.97
2012-01,41660,24884,24024,860,16776,59.7,3.5,91.242,49,49,32,103.5
2012-02,41699,25129,24079,1050,16570,60.3,4.2,91.588,94,91,56,104.21
2012-03,41735,25519,24566,953,16216,61.1,3.7,91.614,72,71,33,104.73
2012-04,41766,25959,25058,901,15807,62.2,3.5,91.605,37,38,37,104.78
2012-05,41813,26243,25431,812,15570,62.8,3.1,91.769,41,39,37,104.19
2012-06,41840,26241,25412,830,15599,62.7,3.2,91.639,40,40,35,102.93
2012-07,41878,26181,25378,803,15698,62.5,3.1,91.432,37,37,33,102.48
2012-08,41910,25891,25121,770,16019,61.8,3,91.855,30,29,31,103.11
2012-09,41937,26014,25257,757,15923,62,2.9,92.512,34,33,33,103.47
2012-10,41966,26037,25315,722,15929,62,2.8,92.339,34,32,34,102.67
2012-11,42005,25896,25182,714,16109,61.6,2.8,92.011,36,35,34,101.96
2012-12,42072,25378,24637,741,16694,60.3,2.9,92.175,30,30,28,101.71
2013-01,42095,25138,24287,851,16957,59.7,3.4,92.728,37,36,31,101.87
2013-02,42137,25206,24215,991,16931,59.8,3.9,93.038,31,30,31,102.57
2013-03,42165,25621,24736,884,16544,60.8,3.5,92.952,33,33,39,102.16
2013-04,42198,26149,25322,827,16049,62,3.2,92.823,44,43,35,101.84
2013-05,42235,26409,25610,799,15826,62.5,3,92.823,38,38,32,101.49
2013-06,42276,26499,25686,814,15777,62.7,3.1,92.71,40,40,32,101.48
2013-07,42316,26509,25681,827,15808,62.6,3.1,92.909,37,36,30,101.46
2013-08,42359,26296,25513,783,16062,62.1,3,93.238,31,30,31,101.74
2013-09,42401,26422,25701,721,15979,62.3,2.7,93.419,27,27,29,101.63
2013-10,42443,26522,25798,724,15921,62.5,2.7,93.134,31,31,36,101.27
2013-11,42488,26497,25795,702,15991,62.4,2.6,93.116,31,30,35,101.07
2013-12,42533,26023,25248,775,16509,61.2,3,93.229,33,33,32,101.3
2014-01,42570,25941,25050,891,16629,60.9,3.4,93.73,32,32,29,101.57
2014-02,42616,26292,25116,1176,16324,61.7,4.5,93.98,30,30,30,101.7
2014-03,42656,26488,25463,1026,16168,62.1,3.9,94.153,28,27,34,101.66
2014-04,42697,27018,25985,1033,15679,63.3,3.8,94.214,29,29,38,101.5
2014-05,42741,27066,26112,955,15674,63.3,3.5,94.369,30,30,35,101.49
2014-06,42783,27131,26178,953,15652,63.4,3.5,94.248,31,30,34,101.53
2014-07,42820,27194,26280,914,15626,63.5,3.4,94.386,34,33,34,101.61
2014-08,42861,27077,26183,894,15785,63.2,3.3,94.551,26,25,29,101.5
2014-09,42897,27064,26213,851,15833,63.1,3.1,94.49,33,31,47,101.14
2014-10,42929,27108,26247,861,15821,63.1,3.2,94.205,31,31,38,100.43
2014-11,42967,27082,26260,822,15886,63,3,94.015,30,30,44,100.12
2014-12,43004,26568,25679,888,16436,61.8,3.3,94.006,31,31,45,99.14
2015-01,43040,26380,25392,988,16660,61.3,3.7,94.643,31,31,42,97.92
2015-02,43081,26671,25471,1200,16410,61.9,4.5,94.587,29,27,34,97.99
2015-03,43117,26840,25766,1074,16277,62.2,4,94.596,31,32,35,97.87
2015-04,43157,27204,26153,1051,15953,63,3.9,94.625,28,29,37,97.84
2015-05,43194,27453,26431,1022,15741,63.6,3.7,94.89,28,27,34,97.9
2015-06,43232,27488,26440,1048,15744,63.6,3.8,94.909,33,32,35,97.85
2015-07,43265,27536,26538,998,15730,63.6,3.6,95.08,25,25,32,97.5
2015-08,43296,27294,26369,925,16003,63,3.4,95.213,27,27,31,96.89
2015-09,43328,27355,26487,867,15973,63.1,3.2,94.966,27,27,33,96.47
2015-10,43357,27358,26519,840,15998,63.1,3.1,94.966,30,30,35,95.81
2015-11,43386,27298,26469,829,16088,62.9,3,94.786,28,29,36,95.43
2015-12,43418,26965,26098,867,16453,62.1,3.2,95.07,30,29,39,95.21
2016-01,43439,26631,25646,985,16808,61.3,3.7,95.232,29,29,35,94.69
2016-02,43471,26925,25615,1309,16546,61.9,4.9,95.64,25,26,32,94.69
2016-03,43506,27133,25980,1153,16373,62.4,4.2,95.393,27,25,44,94.63
2016-04,43537,27398,26325,1074,16138,62.9,3.9,95.573,26,26,39,94.87
2016-05,43571,27617,26613,1004,15955,63.4,3.6,95.63,29,29,39,94.98
2016-06,43600,27720,26718,1002,15880,63.6,3.6,95.611,29,28,39,95.21
2016-07,43626,27737,26765,973,15889,63.6,3.5,95.431,25,26,33,95.1
2016-08,43652,27690,26696,994,15962,63.4,3.6,95.677,24,23,33,95.19
2016-09,43678,27679,26697,983,15998,63.4,3.5,96.247,25,25,36,95.41
2016-10,43704,27666,26746,920,16038,63.3,3.3,96.379,27,25,40,95.69
2016-11,43730,27613,26762,851,16117,63.1,3.1,96.237,27,26,44,96.12
2016-12,43755,27211,26347,864,16544,62.2,3.2,96.342,31,30,38,96.96
2017-01,43790,26886,25878,1008,16904,61.4,3.7,97.366,32,30,38,98.37
2017-02,43818,27321,25979,1342,16497,62.4,4.9,97.632,32,31,42,98.75
2017-03,43846,27579,26443,1137,16267,62.9,4.1,97.565,31,30,43,98.71
2017-04,43871,27911,26744,1167,15960,63.6,4.2,97.442,31,31,46,98.5
2017-05,43902,27987,26992,995,15916,63.7,3.6,97.546,32,31,41,98.23
