observation_date,GDPC1,CPIAUCSL,FEDFUNDS
1990-01-01,10047.386,127.5,8.23
1990-02-01,10083.855,128,8.24
1990-03-01,10090.569,128.6,8.28
1990-04-01,9998.704,128.9,8.26
1990-05-01,9951.916,129.1,8.18
1990-06-01,10029.51,129.9,8.29
1990-07-01,10080.195,130.5,8.15
1990-08-01,10115.329,131.6,8.13
1990-09-01,10236.435,132.5,8.2
1990-10-01,10347.429,133.4,8.11
1990-11-01,10449.673,133.7,7.81
1990-12-01,10558.648,134.2,7.31
1991-01-01,10576.275,134.7,6.91
1991-02-01,10637.847,134.8,6.25
1991-03-01,10688.606,134.8,6.12
1991-04-01,10833.987,135.1,5.91
1991-05-01,10939.116,135.6,5.78
1991-06-01,11087.361,136,5.9
1991-07-01,11152.176,136.2,5.82
1991-08-01,11279.932,136.6,5.66
1991-09-01,11319.951,137,5.45
1991-10-01,11353.721,137.2,5.21
1991-11-01,11450.31,137.8,4.81
1991-12-01,11528.067,138.2,4.43
1992-01-01,11614.418,138.3,4.03
1992-02-01,11808.14,138.6,4.06
1992-03-01,11914.063,139.1,3.98
1992-04-01,12037.775,139.4,3.73
1992-05-01,12115.472,139.7,3.82
1992-06-01,12317.221,140.1,3.76
1992-07-01,12471.01,140.5,3.25
1992-08-01,12577.495,140.8,3.3
1992-09-01,12703.742,141.1,3.22
1992-10-01,12821.339,141.7,3.1
1992-11-01,12982.752,142.1,3.09
1992-12-01,13191.67,142.3,2.92
1993-01-01,13315.597,142.8,3.02
1993-02-01,13426.748,143.1,3.03
1993-03-01,13604.771,143.3,3.07
1993-04-01,13827.98,143.8,2.96
1993-05-01,13878.147,144.2,3
1993-06-01,14130.908,144.3,3.04
1993-07-01,14145.312,144.5,3.06
1993-08-01,14229.765,144.8,3.03
1993-09-01,14183.12,145,3.09
1993-10-01,14271.694,145.6,2.99
1993-11-01,14214.516,146,3.02
1993-12-01,14253.574,146.3,2.96
1994-01-01,14372.785,146.3,3.05
1994-02-01,14460.848,146.7,3.25
1994-03-01,14519.633,147.1,3.34
1994-04-01,14537.58,147.2,3.56
1994-05-01,14614.141,147.5,4.01
1994-06-01,14743.567,147.9,4.25
1994-07-01,14988.782,148.4,4.26
1994-08-01,15162.76,149,4.47
1994-09-01,15248.68,149.3,4.73
1994-10-01,15366.85,149.4,4.76
1994-11-01,15512.619,149.8,5.29
1994-12-01,15670.88,150.1,5.45
1995-01-01,15844.727,150.5,5.53
1995-02-01,15922.782,150.9,5.92
1995-03-01,16047.587,151.2,5.98
1995-04-01,16136.734,151.8,6.05
1995-05-01,16353.835,152.1,6.01
1995-06-01,16396.151,152.4,6
1995-07-01,16420.738,152.6,5.85
1995-08-01,16561.866,152.9,5.74
1995-09-01,16611.69,153.1,5.8
1995-10-01,16713.314,153.5,5.76
1995-11-01,16809.587,153.7,5.8
1995-12-01,16915.191,153.9,5.6
1996-01-01,16843.003,154.7,5.56
1996-02-01,16943.291,155,5.22
1996-03-01,16854.295,155.5,5.31
1996-04-01,16485.35,156.1,5.22
1996-05-01,16298.262,156.4,5.24
1996-06-01,16269.145,156.7,5.27
1996-07-01,16326.281,157,5.4
1996-08-01,16502.754,157.2,5.22
1996-09-01,16582.71,157.7,5.3
1996-10-01,16743.162,158.2,5.24
1996-11-01,16872.266,158.7,5.31
1996-12-01,16960.864,159.1,5.29
1997-01-01,16920.632,159.4,5.25
1997-02-01,17035.114,159.7,5.19
1997-03-01,17031.313,159.8,5.39
1997-04-01,17222.583,159.9,5.51
1997-05-01,17367.01,159.9,5.5
1997-06-01,17444.525,160.2,5.56
1997-07-01,17469.65,160.4,5.52
1997-08-01,17489.852,160.8,5.54
1997-09-01,17662.4,161.2,5.54
1997-10-01,17709.671,161.5,5.5
1997-11-01,17860.45,161.7,5.52
1997-12-01,18016.147,161.8,5.5
1998-01-01,17953.974,162,5.56
1998-02-01,18185.911,162,5.51
1998-03-01,18406.941,162,5.49
1998-04-01,18500.031,162.2,5.45
1998-05-01,18666.621,162.6,5.49
1998-06-01,18782.243,162.8,5.56
1998-07-01,18857.418,163.2,5.54
1998-08-01,18892.206,163.4,5.55
1998-09-01,19001.69,163.5,5.51
1998-10-01,19062.709,163.9,5.07
1998-11-01,19197.938,164.1,4.83
1998-12-01,19304.352,164.4,4.68
1999-01-01,19398.343,164.7,4.63
1999-02-01,19506.949,164.7,4.76
1999-03-01,19660.766,164.8,4.81
1999-04-01,19882.352,165.9,4.74
1999-05-01,20044.077,166,4.74
1999-06-01,20150.476,166,4.76
1999-07-01,20276.154,166.7,4.99
1999-08-01,20304.874,167.1,5.07
1999-09-01,20431.641,167.8,5.22
1999-10-01,20602.275,168.1,5.2
1999-11-01,20843.322,168.4,5.42
1999-12-01,20985.448,168.8,5.3
2000-01-01,20693.238,169.3,5.45
2000-02-01,19056.617,170,5.73
2000-03-01,20548.793,171,5.85
2000-04-01,20771.691,170.9,6.02
2000-05-01,21058.379,171.2,6.27
2000-06-01,21389.005,172.2,6.53
2000-07-01,21571.421,172.7,6.54
2000-08-01,21960.388,172.7,6.5
2000-09-01,21903.85,173.6,6.52
2000-10-01,21919.222,173.9,6.51
2000-11-01,22066.784,174.2,6.51
2000-12-01,22249.459,174.6,6.4
2001-01-01,22403.435,175.6,5.98
2001-02-01,22539.418,176,5.49
2001-03-01,22780.933,176.1,5.31
2001-04-01,22960.6,176.4,4.8
2001-05-01,23053.545,177.3,4.21
2001-06-01,23223.906,177.7,3.97
2001-07-01,23400.294,177.4,3.77
2001-08-01,23542.349,177.4,3.65
2001-09-01,,178.1,3.07
2001-10-01,,177.6,2.49
2001-11-01,,177.5,2.09
2001-12-01,,177.4,1.82
2002-01-01,,177.7,1.73
2002-02-01,,178,1.74
2002-03-01,,178.5,1.73
2002-04-01,,179.3,1.75
2002-05-01,,179.5,1.75
2002-06-01,,179.6,1.75
2002-07-01,,180,1.73
2002-08-01,,180.5,1.74
2002-09-01,,180.8,1.75
2002-10-01,,181.2,1.75
2002-11-01,,181.5,1.34
2002-12-01,,181.8,1.24
2003-01-01,,182.6,1.24
2003-02-01,,183.6,1.26
2003-03-01,,183.9,1.25
2003-04-01,,183.2,1.26
2003-05-01,,182.9,1.26
2003-06-01,,183.1,1.22
2003-07-01,,183.7,1.01
2003-08-01,,184.5,1.03
2003-09-01,,185.1,1.01
2003-10-01,,184.9,1.01
2003-11-01,,185,1
2003-12-01,,185.5,0.98
2004-01-01,,186.3,1
2004-02-01,,186.7,1.01
2004-03-01,,187.1,1
2004-04-01,,187.4,1
2004-05-01,,188.2,1
2004-06-01,,188.9,1.03
2004-07-01,,189.1,1.26
2004-08-01,,189.2,1.43
2004-09-01,,189.8,1.61
2004-10-01,,190.8,1.76
2004-11-01,,191.7,1.93
2004-12-01,,191.7,2.16
2005-01-01,,191.6,2.28
2005-02-01,,192.4,2.5
2005-03-01,,193.1,2.63
2005-04-01,,193.7,2.79
2005-05-01,,193.6,3
2005-06-01,,193.7,3.04
2005-07-01,,194.9,3.26
2005-08-01,,196.1,3.5
2005-09-01,,198.8,3.62
2005-10-01,,199.1,3.78
2005-11-01,,198.1,4
2005-12-01,,198.1,4.16
2006-01-01,,199.3,4.29
2006-02-01,,199.4,4.49
2006-03-01,,199.7,4.59
2006-04-01,,200.7,4.79
2006-05-01,,201.3,4.94
2006-06-01,,201.8,4.99
2006-07-01,,202.9,5.24
2006-08-01,,203.8,5.25
2006-09-01,,202.8,5.25
2006-10-01,,201.9,5.25
2006-11-01,,202,5.25
2006-12-01,,203.1,5.24
2007-01-01,,203.437,5.25
2007-02-01,,204.226,5.26
2007-03-01,,205.288,5.26
2007-04-01,,205.904,5.25
2007-05-01,,206.755,5.25
2007-06-01,,207.234,5.25
2007-07-01,,207.603,5.26
2007-08-01,,207.667,5.02
2007-09-01,,208.547,4.94
2007-10-01,,209.19,4.76
2007-11-01,,210.834,4.49
2007-12-01,,211.445,4.24
2008-01-01,,212.174,3.94
2008-02-01,,212.687,2.98
2008-03-01,,213.448,2.61
2008-04-01,,213.942,2.28
2008-05-01,,215.208,1.98
2008-06-01,,217.463,2
2008-07-01,,219.016,2.01
2008-08-01,,218.69,2
2008-09-01,,218.877,1.81
2008-10-01,,216.995,0.97
2008-11-01,,213.153,0.39
2008-12-01,,211.398,0.16
2009-01-01,,211.933,0.15
2009-02-01,,212.705,0.22
2009-03-01,,212.495,0.18
2009-04-01,,212.709,0.15
2009-05-01,,213.022,0.18
2009-06-01,,214.79,0.21
2009-07-01,,214.726,0.16
2009-08-01,,215.445,0.16
2009-09-01,,215.861,0.15
2009-10-01,,216.509,0.12
2009-11-01,,217.234,0.12
2009-12-01,,217.347,0.12
2010-01-01,,217.488,0.11
2010-02-01,,217.281,0.13
2010-03-01,,217.353,0.16
2010-04-01,,217.403,0.2
2010-05-01,,217.29,0.2
2010-06-01,,217.199,0.18
2010-07-01,,217.605,0.18
2010-08-01,,217.923,0.19
2010-09-01,,218.275,0.19
2010-10-01,,219.035,0.19
2010-11-01,,219.59,0.19
2010-12-01,,220.472,0.18
2011-01-01,,221.187,0.17
2011-02-01,,221.898,0.16
2011-03-01,,223.046,0.14
2011-04-01,,224.093,0.1
2011-05-01,,224.806,0.09
2011-06-01,,224.806,0.09
2011-07-01,,225.395,0.07
2011-08-01,,226.106,0.1
2011-09-01,,226.597,0.08
2011-10-01,,226.75,0.07
2011-11-01,,227.169,0.08
2011-12-01,,227.223,0.07
2012-01-01,,227.842,0.08
2012-02-01,,228.329,0.1
2012-03-01,,228.807,0.13
2012-04-01,,229.187,0.14
2012-05-01,,228.713,0.16
2012-06-01,,228.524,0.16
2012-07-01,,228.59,0.16
2012-08-01,,229.918,0.13
2012-09-01,,231.015,0.14
2012-10-01,,231.638,0.16
2012-11-01,,231.249,0.16
2012-12-01,,231.221,0.16
2013-01-01,,231.679,0.14
2013-02-01,,232.937,0.15
2013-03-01,,232.282,0.14
2013-04-01,,231.797,0.15
2013-05-01,,231.893,0.11
2013-06-01,,232.445,0.09
2013-07-01,,232.9,0.09
2013-08-01,,233.456,0.08
2013-09-01,,233.544,0.08
2013-10-01,,233.669,0.09
2013-11-01,,234.1,0.08
2013-12-01,,234.719,0.09
2014-01-01,,235.288,0.07
2014-02-01,,235.547,0.07
2014-03-01,,236.028,0.08
2014-04-01,,236.468,0.09
2014-05-01,,236.918,0.09
2014-06-01,,237.231,0.1
2014-07-01,,237.498,0.09
2014-08-01,,237.46,0.09
2014-09-01,,237.477,0.09
2014-10-01,,237.43,0.09
2014-11-01,,236.983,0.09
2014-12-01,,236.252,0.12
2015-01-01,,234.747,0.11
2015-02-01,,235.342,0.11
2015-03-01,,235.976,0.11
2015-04-01,,236.222,0.12
2015-05-01,,237.001,0.12
2015-06-01,,237.657,0.13
2015-07-01,,238.034,0.13
2015-08-01,,238.033,0.14
2015-09-01,,237.498,0.14
2015-10-01,,237.733,0.12
2015-11-01,,238.017,0.12
2015-12-01,,237.761,0.24
2016-01-01,,237.652,0.34
2016-02-01,,237.336,0.38
2016-03-01,,238.08,0.36
2016-04-01,,238.992,0.37
2016-05-01,,239.557,0.37
2016-06-01,,240.222,0.38
2016-07-01,,240.101,0.39
2016-08-01,,240.545,0.4
2016-09-01,,241.176,0.4
2016-10-01,,241.741,0.4
