lag,aic,bic,hqic,best_aic,best_bic,best_hqic
1,-26.46237574487094,-26.403470742607986,-26.43844985694994,False,True,False
2,-27.0695546797102,-26.83393467065839,-26.973851128026208,False,False,True
3,-27.187738075326205,-26.77540305948553,-27.02025685987921,False,False,False
4,-27.173632842545214,-26.58458281991568,-26.934373963335226,False,False,False
5,-27.268445012318487,-26.502679982900098,-26.957408469345502,True,False,False
6,-27.272818288667366,-26.330338252460116,-26.890004081931387,False,False,False
7,-27.216471215434012,-26.0972761724379,-26.761879344935036,False,False,False
8,-27.249306801544456,-25.953396751759485,-26.722937267282482,False,False,False
9,-27.267187489670558,-25.79456243309673,-26.66904029164559,False,False,False
10,-27.252970082350693,-25.603630018988003,-26.583045220562724,False,False,False
11,-27.25100580997808,-25.424950739826528,-26.509303284427116,False,False,False
12,-27.219680597343086,-25.216910520402678,-26.406200408029125,False,False,False
13,-27.16903952595172,-24.989554442222456,-26.283781672874767,False,False,False
14,-27.187467247888804,-24.831267157370675,-26.230431731048853,False,False,False
15,-27.124465192900683,-24.591550095593696,-26.095652012297734,False,False,False
16,-27.100019004168534,-24.390388900072686,-25.99942815980259,False,False,False
