lag,aic,bic,hqic,best_aic,best_bic,best_hqic
1,-26.360151837318604,-26.30124683505565,-26.336225949397605,False,False,False
2,-26.821706258640592,-26.58608624958878,-26.7260027069566,True,True,True
3,-27.024505338703868,-26.612170322863193,-26.857024123256874,False,False,False
4,-27.0196231631393,-26.430573140509768,-26.780364283929313,False,False,False
5,-26.95828743726815,-26.19252240784976,-26.647250894295166,False,False,False
6,-26.92236570149031,-25.97988566528306,-26.53955149475433,False,False,False
7,-26.9235275835178,-25.80433254052169,-26.468935713018823,False,False,False
8,-26.9388186857191,-25.642908635934127,-26.412449151457125,False,False,False
9,-26.906393667829214,-25.433768611255385,-26.308246469804246,False,False,False
10,-26.884463562116814,-25.235123498754128,-26.21453870032885,False,False,False
11,-26.867944591414076,-25.041889521262526,-26.126242065863114,False,False,False
12,-26.876774698844617,-24.87400462190421,-26.063294509530657,False,False,False
13,-26.784228911559197,-24.60474382782993,-25.898971058482243,False,False,False
14,-26.747587259483904,-24.391387168965775,-25.79055174264395,False,False,False
15,-26.701361723354275,-24.168446626047288,-25.672548542751326,False,False,False
16,-26.714432620412353,-24.00480251631651,-25.61384177604641,False,False,False
