lag,aic,bic,hqic,best_aic,best_bic,best_hqic
1,-26.311836274086247,-26.252931271823293,-26.287910386165247,False,False,False
2,-26.780851754220443,-26.545231745168632,-26.68514820253645,True,True,True
3,-27.000946580057743,-26.588611564217068,-26.83346536461075,False,False,False
4,-26.98875306576248,-26.39970304313295,-26.749494186552493,False,False,False
5,-26.923228155532865,-26.157463126114475,-26.61219161255988,False,False,False
6,-26.890456780858766,-25.947976744651516,-26.507642574122787,False,False,False
7,-26.889993698059456,-25.770798655063345,-26.43540182756048,False,False,False
8,-26.901160800650654,-25.605250750865686,-26.37479126638868,False,False,False
9,-26.869897573813013,-25.397272517239184,-26.271750375788045,False,False,False
10,-26.845078580695713,-25.195738517333027,-26.175153718907747,False,False,False
11,-26.838312483898214,-25.012257413746664,-26.09660995834725,False,False,False
12,-26.850074433410168,-24.84730435646976,-26.036594244096207,False,False,False
13,-26.75687916472922,-24.577394080999955,-25.871621311652266,False,False,False
14,-26.725100236223753,-24.368900145705624,-25.7680647193838,False,False,False
15,-26.680713960028285,-24.1477988627213,-25.651900779425336,False,False,False
16,-26.727084265004173,-24.01745416090833,-25.62649342063823,False,False,False
