lag,aic,bic,hqic,best_aic,best_bic,best_hqic
1,-22.479178701146022,-22.43990869963739,-22.463228109198692,False,False,False
2,-22.935510106775396,-22.81770010224949,-22.887658330933398,False,True,True
3,-23.04286052596275,-22.846510518419574,-22.96310756622609,False,False,False
4,-23.052158765899666,-22.777268755339218,-22.94050462226834,False,False,False
5,-23.033956769084735,-22.680526755507014,-22.89040144155874,False,False,False
6,-23.03541104864004,-22.60344103204505,-22.859954537219384,False,False,False
7,-23.049736411290326,-22.539226391678064,-22.842378715975002,False,False,False
8,-23.100886580216976,-22.511836557587444,-22.861627701006988,False,False,False
9,-23.08651006566627,-22.41892004001947,-22.815350002561615,False,False,False
10,-23.112556732381954,-22.36642670371788,-22.809495485382637,False,False,False
11,-23.115907568528318,-22.291237536846975,-22.780945137634337,True,False,False
12,-23.116020507015232,-22.21281047231662,-22.749156892226583,False,False,False
13,-23.076896107360565,-22.095146069644677,-22.67813130867725,False,False,False
14,-23.071534292880436,-22.01124425214728,-22.640868310302455,False,False,False
15,-23.039510802976558,-21.90068075922613,-22.576943636503916,False,False,False
16,-23.00160690581907,-21.784236859051372,-22.50713855545176,False,False,False
