variable,model,order,parameter,value
cpi,VAR,11,coef_lag1_cpi,0.024073506223383598
cpi,VAR,11,coef_lag1_ppi,0.29463805094653955
cpi,VAR,11,coef_lag2_cpi,-0.23644023377925627
cpi,VAR,11,coef_lag2_ppi,-0.05813607947301353
cpi,VAR,11,coef_lag3_cpi,-0.2291001281194575
cpi,VAR,11,coef_lag3_ppi,0.10476290791941753
cpi,VAR,11,coef_lag4_cpi,0.2625333050280327
cpi,VAR,11,coef_lag4_ppi,-0.14211611565652588
cpi,VAR,11,coef_lag5_cpi,-0.009863712746544084
cpi,VAR,11,coef_lag5_ppi,0.03037348451882621
cpi,VAR,11,coef_lag6_cpi,0.173072057518419
cpi,VAR,11,coef_lag6_ppi,-0.013315993887118934
cpi,VAR,11,coef_lag7_cpi,0.09900534909578317
cpi,VAR,11,coef_lag7_ppi,0.013105373921922318
cpi,VAR,11,coef_lag8_cpi,0.12191550463464432
cpi,VAR,11,coef_lag8_ppi,-0.040205101663422095
cpi,VAR,11,coef_lag9_cpi,-0.10281596003686007
cpi,VAR,11,coef_lag9_ppi,0.07267068190730948
cpi,VAR,11,coef_lag10_cpi,-0.2312937659148253
cpi,VAR,11,coef_lag10_ppi,0.021245690333285865
cpi,VAR,11,coef_lag11_cpi,0.1343114218005304
cpi,VAR,11,coef_lag11_ppi,0.057939998769267906
cpi,VAR,11,intercept,0.001218850472302836
