variable,model,order,parameter,value
ppi,VAR,11,coef_lag1_cpi,-0.1089756191277522
ppi,VAR,11,coef_lag1_ppi,0.713441096642964
ppi,VAR,11,coef_lag2_cpi,-0.050215233906387796
ppi,VAR,11,coef_lag2_ppi,-0.13208631021792133
ppi,VAR,11,coef_lag3_cpi,0.014885088365946864
ppi,VAR,11,coef_lag3_ppi,0.03770420459626997
ppi,VAR,11,coef_lag4_cpi,0.15904591550584668
ppi,VAR,11,coef_lag4_ppi,-0.14578198081774524
ppi,VAR,11,coef_lag5_cpi,-0.13619079869335962
ppi,VAR,11,coef_lag5_ppi,0.08848871394955923
ppi,VAR,11,coef_lag6_cpi,-0.0688944377442878
ppi,VAR,11,coef_lag6_ppi,0.26197325936519844
ppi,VAR,11,coef_lag7_cpi,0.017780208172343426
ppi,VAR,11,coef_lag7_ppi,-0.11075932891376845
ppi,VAR,11,coef_lag8_cpi,-0.11130923341862131
ppi,VAR,11,coef_lag8_ppi,-0.029536397338726334
ppi,VAR,11,coef_lag9_cpi,-0.3129655826660886
ppi,VAR,11,coef_lag9_ppi,0.15434541397528065
ppi,VAR,11,coef_lag10_cpi,-0.33139712707008073
ppi,VAR,11,coef_lag10_ppi,0.20476807192139598
ppi,VAR,11,coef_lag11_cpi,0.07943683022782477
ppi,VAR,11,coef_lag11_ppi,-0.027984460987801035
ppi,VAR,11,intercept,0.0012926908443027603
