lag,aic,bic,hqic,best_aic,best_bic,best_hqic
1,-15.404581110874185,-15.36531110936555,-15.388630518926853,False,False,False
2,-15.610126374504915,-15.49231636997901,-15.562274598662919,False,True,False
3,-15.703968717949707,-15.507618710406529,-15.624215758213044,False,False,False
4,-15.697670708351266,-15.422780697790817,-15.586016564719937,False,False,True
5,-15.860537352645673,-15.507107339067954,-15.71698202511968,False,False,False
6,-15.868774955601657,-15.436804939006667,-15.693318444180997,False,False,False
7,-15.851883898109175,-15.341373878496915,-15.644526202793854,False,False,False
8,-15.912200925819903,-15.32315090319037,-15.672942046609915,False,False,False
9,-15.918092599110606,-15.250502573463804,-15.646932536005954,False,False,False
10,-15.900261560981933,-15.15413153231786,-15.597200313982615,True,False,False
11,-15.926196014498128,-15.101525982816785,-15.591233583604145,False,False,False
12,-15.921047737981695,-15.01783770328308,-15.554184123193046,False,False,False
13,-15.894085990687334,-14.912335952971446,-15.49532119200402,False,False,False
14,-15.889314050492969,-14.829024009759813,-15.458648067914991,False,False,False
15,-15.853855594502585,-14.715025550752157,-15.391288428029942,False,False,False
16,-15.85458297524536,-14.637212928477663,-15.360114624878053,False,False,False
