variable,model,order,parameter,value
cpi,VAR,10,coef_lag1_cpi,0.2504442265544276
cpi,VAR,10,coef_lag1_trend_gap,-0.001568947419315167
cpi,VAR,10,coef_lag2_cpi,-0.10720010824755591
cpi,VAR,10,coef_lag2_trend_gap,-0.000319149812802455
cpi,VAR,10,coef_lag3_cpi,-0.11204077245136064
cpi,VAR,10,coef_lag3_trend_gap,0.0020255237070530216
cpi,VAR,10,coef_lag4_cpi,0.2953355217763943
cpi,VAR,10,coef_lag4_trend_gap,0.002769279539104441
cpi,VAR,10,coef_lag5_cpi,-0.0259807034580369
cpi,VAR,10,coef_lag5_trend_gap,-0.0011336884214647736
cpi,VAR,10,coef_lag6_cpi,0.11523318524742548
cpi,VAR,10,coef_lag6_trend_gap,-0.0015460166193045563
cpi,VAR,10,coef_lag7_cpi,0.13890539736661275
cpi,VAR,10,coef_lag7_trend_gap,-0.0019946620590953514
cpi,VAR,10,coef_lag8_cpi,0.15787486964828928
cpi,VAR,10,coef_lag8_trend_gap,-0.0024080501121028636
cpi,VAR,10,coef_lag9_cpi,-0.05051672322878026
cpi,VAR,10,coef_lag9_trend_gap,0.00030493717091684136
cpi,VAR,10,coef_lag10_cpi,-0.17979589182656946
cpi,VAR,10,coef_lag10_trend_gap,0.0037733821255252903
cpi,VAR,10,intercept,0.0008653176574568089
