variable,model,order,parameter,value
trend_gap,VAR,10,coef_lag1_cpi,4.98036163662572
trend_gap,VAR,10,coef_lag1_trend_gap,-0.467889930498699
trend_gap,VAR,10,coef_lag2_cpi,3.1440473357608374
trend_gap,VAR,10,coef_lag2_trend_gap,-0.29386748773260596
trend_gap,VAR,10,coef_lag3_cpi,0.5886489758898781
trend_gap,VAR,10,coef_lag3_trend_gap,-0.15206226311331583
trend_gap,VAR,10,coef_lag4_cpi,-6.322839992238383
trend_gap,VAR,10,coef_lag4_trend_gap,-0.25351263872931784
trend_gap,VAR,10,coef_lag5_cpi,-5.1767192717214305
trend_gap,VAR,10,coef_lag5_trend_gap,-0.09418503486294838
trend_gap,VAR,10,coef_lag6_cpi,0.3756688949305677
trend_gap,VAR,10,coef_lag6_trend_gap,0.0835747030416164
trend_gap,VAR,10,coef_lag7_cpi,-2.4461011536444333
trend_gap,VAR,10,coef_lag7_trend_gap,0.1688321398743741
trend_gap,VAR,10,coef_lag8_cpi,1.2865259241986862
trend_gap,VAR,10,coef_lag8_trend_gap,0.02327459994817549
trend_gap,VAR,10,coef_lag9_cpi,0.02804371122841398
trend_gap,VAR,10,coef_lag9_trend_gap,-0.09895869067736696
trend_gap,VAR,10,coef_lag10_cpi,2.6981535304796083
trend_gap,VAR,10,coef_lag10_trend_gap,-0.08618073408177529
trend_gap,VAR,10,intercept,0.005611452655617549
