lag,aic,bic,hqic,best_aic,best_bic,best_hqic
1,-15.294588831360793,-15.255318829852158,-15.27863823941346,False,False,False
2,-15.360838316532337,-15.243028312006432,-15.312986540690341,False,True,False
3,-15.473937750870018,-15.27758774332684,-15.394184791133355,False,False,True
4,-15.532084325762096,-15.257194315201646,-15.420430182130767,False,False,False
5,-15.537922751481876,-15.184492737904158,-15.394367423955883,False,False,False
6,-15.504924205819288,-15.072954189224298,-15.329467694398629,False,False,False
7,-15.541988124782694,-15.031478105170434,-15.334630429467373,True,False,False
8,-15.592459418693991,-15.003409396064459,-15.353200539484003,False,False,False
9,-15.563405494578019,-14.895815468931216,-15.292245431473367,False,False,False
10,-15.554409801690698,-14.808279773026625,-15.25134855469138,False,False,False
11,-15.53624252562658,-14.711572493945237,-15.201280094732597,False,False,False
12,-15.546119146937048,-14.642909112238433,-15.1792555321484,False,False,False
13,-15.508411398631019,-14.526661360915131,-15.109646599947705,False,False,False
14,-15.471616092536495,-14.41132605180334,-15.040950109958517,False,False,False
15,-15.461213287276786,-14.322383243526358,-14.998646120804143,False,False,False
16,-15.464033036052218,-14.24666298928452,-14.96956468568491,False,False,False
