lag,aic,bic,hqic,best_aic,best_bic,best_hqic
1,-15.246899582903898,-15.207629581395263,-15.230948990956566,False,False,False
2,-15.322050430620877,-15.204240426094971,-15.27419865477888,False,True,False
3,-15.449493871130521,-15.253143863587344,-15.369740911393858,False,False,True
4,-15.501065583533965,-15.226175572973515,-15.389411439902636,False,False,False
5,-15.506225268454088,-15.15279525487637,-15.362669940928095,False,False,False
6,-15.475703304519921,-15.043733287924931,-15.300246793099262,False,False,False
7,-15.505599652623912,-14.995089633011652,-15.29824195730859,True,False,False
8,-15.55022855973435,-14.961178537104818,-15.310969680524362,False,False,False
9,-15.52281760018718,-14.855227574540377,-15.251657537082528,False,False,False
10,-15.512701441439178,-14.766571412775106,-15.20964019443986,False,False,False
11,-15.50235729936087,-14.677687267679527,-15.167394868466888,False,False,False
12,-15.513894599318618,-14.610684564620003,-15.14703098452997,False,False,False
13,-15.475023433895142,-14.493273396179255,-15.076258635211829,False,False,False
14,-15.432142773509396,-14.37185273277624,-15.001476790931418,False,False,False
15,-15.415680253799481,-14.276850210049053,-14.953113087326837,False,False,False
16,-15.448142838163658,-14.23077279139596,-14.95367448779635,False,False,False
