lag,aic,bic,hqic,best_aic,best_bic,best_hqic
1,-14.607347966359919,-14.568077964851284,-14.591397374412587,False,True,False
2,-15.143361825122005,-15.0255518205961,-15.095510049280009,False,False,False
3,-15.167105629022082,-14.970755621478904,-15.08735266928542,False,False,False
4,-15.204111949414884,-14.929221938854434,-15.092457805783555,False,False,True
5,-15.308813107584486,-14.955383094006766,-15.165257780058493,True,False,False
6,-15.312366921986063,-14.880396905391073,-15.136910410565404,False,False,False
7,-15.282281044904645,-14.771771025292384,-15.074923349589323,False,False,False
8,-15.287494272597103,-14.69844424996757,-15.048235393387115,False,False,False
9,-15.29795177315068,-14.630361747503878,-15.026791710046028,False,False,False
10,-15.267890975653188,-14.521760946989115,-14.96482972865387,False,False,False
11,-15.256833215331845,-14.432163183650502,-14.921870784437862,False,False,False
12,-15.226558754272709,-14.323348719574094,-14.85969513948406,False,False,False
13,-15.205453130799324,-14.223703093083436,-14.80668833211601,False,False,False
14,-15.242423928210792,-14.182133887477637,-14.811757945632815,False,False,False
15,-15.213867124698014,-14.075037080947586,-14.75129995822537,False,False,False
16,-15.191701268402447,-13.974331221634749,-14.697232918035139,False,False,False
