lag,aic,bic,hqic,best_aic,best_bic,best_hqic
1,-14.513182025697274,-14.473912024188639,-14.497231433749942,False,False,False
2,-14.992792754295653,-14.874982749769748,-14.944940978453657,False,True,True
3,-15.105194865908029,-14.908844858364851,-15.025441906171366,True,False,False
4,-15.106329096022483,-14.831439085462033,-14.994674952391154,False,False,False
5,-15.062957608287595,-14.709527594709876,-14.919402280761602,False,False,False
6,-15.054919543591616,-14.622949526996626,-14.879463032170957,False,False,False
7,-15.038422872405608,-14.527912852793348,-14.831065177090286,False,False,False
8,-15.005011376493187,-14.415961353863654,-14.765752497283199,False,False,False
9,-14.996020147126154,-14.328430121479352,-14.724860084021502,False,False,False
10,-14.956781252396542,-14.21065122373247,-14.653720005397224,False,False,False
11,-14.94534436407588,-14.120674332394536,-14.610381933181896,False,False,False
12,-14.937716115667575,-14.03450608096896,-14.570852500878926,False,False,False
13,-14.887037907146137,-13.90528786943025,-14.488273108462824,False,False,False
14,-14.878036095700951,-13.817746054967795,-14.447370113122973,False,False,False
15,-14.843346144895628,-13.7045161011452,-14.380778978422985,False,False,False
16,-14.820906202415248,-13.60353615564755,-14.32643785204794,False,False,False
