lag,aic,bic,hqic,best_aic,best_bic,best_hqic
1,-14.46622687591692,-14.426956874408285,-14.450276283969588,False,False,False
2,-14.95030992369135,-14.832499919165445,-14.902458147849353,False,True,True
3,-15.076948985259541,-14.880598977716364,-14.997196025522879,True,False,False
4,-15.078038860838404,-14.803148850277955,-14.966384717207076,False,False,False
5,-15.034636332366187,-14.681206318788469,-14.891081004840194,False,False,False
6,-15.027556480550592,-14.595586463955602,-14.852099969129933,False,False,False
7,-15.010629845991712,-14.500119826379452,-14.80327215067639,False,False,False
8,-14.981512309801488,-14.392462287171956,-14.7422534305915,False,False,False
9,-14.970842127014103,-14.3032521013673,-14.699682063909451,False,False,False
10,-14.93265050926424,-14.186520480600167,-14.629589262264922,False,False,False
11,-14.930011129557325,-14.10534109787598,-14.59504869866334,False,False,False
12,-14.921372411310482,-14.018162376611867,-14.554508796521834,False,False,False
13,-14.87607614421997,-13.894326106504083,-14.477311345536656,False,False,False
14,-14.865202456027346,-13.80491241529419,-14.434536473449368,False,False,False
15,-14.841879663709546,-13.703049619959119,-14.379312497236903,False,False,False
16,-14.811544955939677,-13.59417490917198,-14.31707660557237,False,False,False
