time,mulga,inflation
1-10,0,51
2-10,0,57
3-10,0,48
4-10,0,45
5-10,11,44
6-10,0,60
7-10,0,41
8-10,10,41
9-10,0,47
10-10,13,49
11-10,16,47
12-10,9,48
1-11,10,57
2-11,18,50
3-11,15,53
4-11,16,48
5-11,11,42
6-11,9,53
7-11,6,44
8-11,7,39
9-11,10,44
10-11,9,43
11-11,8,57
12-11,7,33
1-12,5,49
2-12,4,91
3-12,7,71
4-12,7,38
5-12,7,39
6-12,7,40
7-12,7,37
8-12,5,29
9-12,7,33
10-12,7,32
11-12,8,35
12-12,7,30
1-13,6,36
2-13,4,30
3-13,4,33
4-13,7,43
5-13,7,38
6-13,7,40
7-13,4,36
8-13,4,30
9-13,5,27
10-13,8,31
11-13,6,30
12-13,7,33
1-14,3,32
2-14,4,30
3-14,8,27
4-14,10,29
5-14,8,30
6-14,10,30
7-14,7,33
8-14,6,25
9-14,7,31
10-14,6,31
11-14,10,30
12-14,11,31
1-15,6,31
2-15,8,27
3-15,11,32
4-15,8,29
5-15,8,27
6-15,9,32
7-15,6,25
8-15,5,27
9-15,7,27
10-15,7,30
11-15,8,29
12-15,8,29
1-16,6,29
2-16,5,26
3-16,6,25
4-16,8,26
5-16,8,29
6-16,8,28
7-16,4,26
8-16,6,23
9-16,6,25
10-16,6,25
11-16,8,26
12-16,7,30
1-17,5,30
2-17,5,31
3-17,5,30
4-17,6,31
5-17,6,31
6-17,9,31
7-17,5,32
8-17,4,28
9-17,7,33
10-17,7,32
11-17,9,33
12-17,8,29
1-18,7,36
2-18,8,34
3-18,7,34
4-18,7,36
5-18,7,36
6-18,8,33
7-18,8,34
8-18,9,33
9-18,9,34
10-18,10,35
11-18,10,36
12-18,9,37
1-19,6,37
2-19,5,33
3-19,7,37
4-19,10,36
5-19,9,43
6-19,8,41
7-19,6,37
8-19,7,34
9-19,10,41
10-19,11,44
11-19,10,43
12-19,10,43
1-20,7,39
2-20,10,34
3-20,12,34
4-20,12,28
5-20,13,34
6-20,16,37
7-20,11,33
8-20,13,36
9-20,12,32
10-20,11,33
11-20,11,30
12-20,19,32
1-21,22,36
2-21,26,34
3-21,22,36
4-21,15,37
5-21,38,39
6-21,28,48
7-21,15,35
8-21,15,34
9-21,14,36
10-21,27,42
11-21,22,48
12-21,21,52
1-22,23,69
2-22,23,68
3-22,26,70
4-22,30,84
5-22,32,90
6-22,43,100
7-22,31,92
8-22,31,77
9-22,37,87
10-22,29,82
11-22,28,79
12-22,24,82
1-23,18,84
2-23,16,87
3-23,20,76
4-23,19,74
5-23,18,72
6-23,16,66
7-23,12,57
8-23,12,53
9-23,16,59
10-23,15,59
11-23,16,65
12-23,13,62
1-24,11,60
2-24,9,57
3-24,13,66
4-24,16,68
5-24,17,66
6-24,15,73
7-24,13,62
8-24,10,62
9-24,12,59
10-24,14,57
11-24,15,66
12-24,16,69
1-25,14,74
2-25,12,68
3-25,13,67
4-25,13,61
